Site_Number,Station_Name,Lat,Long,Ecoli,Enterococci,Type
7191160,"Spavinaw Creek near Maysville, AR",36.36452259,-94.5513299,0,0,Streamflow
7191179,"Spavinaw Creek near Cherokee City, AR",36.3420235,-94.58772,0,0,Streamflow
7191220,"Spavinaw Creek near Sycamore, OK",36.3347222,-94.6413889,0,0,Streamflow
71912213,"Spavinaw Creek near Colcord, OK",36.3225808,-94.6852238,0,0,Streamflow
7191222,"Beaty Creek near Jay, OK",36.35535924,-94.7763388,0,0,Streamflow
7191288,"Spavinaw Creek near Eucha, OK",36.37925097,-94.936901,0,0,Streamflow
7191500,"Neosho River near Chouteau, OK",36.2295379,-95.182741,0,0,Streamflow
7192100,"Spring Creek near Locust Grove, OK",36.1484276,-95.1574613,0,0,Streamflow
7194500,"Arkansas River near Muskogee, OK",35.7695432,-95.2971867,0,0,Streamflow
7195430,"Illinois River South of Siloam Springs, AR",36.1086111,-94.5333333,0,0,Streamflow
7195500,"Illinois River near Watts, OK",36.13008185,-94.5721645,0,0,Streamflow
7195800,"Flint Creek at Springtown, AR",36.2561111,-94.4336111,0,0,Streamflow
7195855,"Flint Creek near West Siloam Springs, OK",36.2161111,-94.6052778,0,0,Streamflow
7195865,"Sager Creek near West Siloam Springs, OK",36.20174844,-94.6052207,0,0,Streamflow
7196000,"Flint Creek near Kansas, OK",36.18647245,-94.7068913,0,0,Streamflow
7196090,"Illinois River at Chewey, OK",36.1042527,-94.7827283,0,0,Streamflow
7196500,"Illinois River near Tahlequah, OK",35.92286888,-94.9235658,0,0,Streamflow
7196900,"Baron Fork at Dutch Mills, AR",35.88,-94.4863889,0,0,Streamflow
7197000,"Baron Fork at Eldon, OK",35.92120037,-94.8385633,0,0,Streamflow
7197360,"Caney Creek near Barber, OK",35.7850906,-94.8563398,0,0,Streamflow
7198000,"Illinois River near Gore, OK",35.5731511,-95.0688458,0,0,Streamflow
7228000,"Canadian Rv nr Canadian, TX",35.935042,-100.3706884,0,0,Streamflow
7228500,"Canadian River at Bridgeport, OK",35.54366175,-98.3178388,0,0,Streamflow
7228940,"Canadian River near Mustang, OK",35.32416667,-97.7236111,0,0,Streamflow
7229050,"Canadian River at Norman, OK",35.19451115,-97.4850339,0,0,Streamflow
7229200,"Canadian River at Purcell, OK",35.01396104,-97.3475281,0,0,Streamflow
7229300,"Walnut Creek at Purcell, OK",34.99896109,-97.3669727,0,0,Streamflow
7230000,"Little River blw Lk Thunderbird nr Norman, OK",35.22173637,-97.2139165,0,0,Streamflow
7230500,"Little River near Tecumseh, OK",35.17257416,-96.9319662,0,0,Streamflow
7231000,"Little River near Sasakwa, OK",34.9653615,-96.5125113,0,0,Streamflow
7231500,"Canadian River at Calvin, OK",34.97786698,-96.2436172,0,0,Streamflow
7234000,"Beaver River at Beaver, OK",36.82224819,-100.5193158,0,0,Streamflow
7235000,"Wolf Ck at Lipscomb, TX",36.23864885,-100.2756889,0,0,Streamflow
7235600,"Wolf Creek nr Gage, OK",36.32666667,-99.7611111,0,0,Streamflow
